ID,Title,Director,Year Released,Book ID
0,Harry Potter and the Sorcerer's Stone,Chris Columbus,2001,0
1,Harry Potter and the Chamber of Secrets,Chris Columbus,2002,1
2,Harry Potter and the Prisoner of Azkaban,Alfonso cuarón,2004,2
3,Harry Potter and the Goblet of Fire,Mike Newell,2005,3
4,Harry Potter and the Order of the Phoenix,David Yates,2007,4
5,Harry Potter and the Half-Blood Prince,David Yates,2009,5
6,Harry Potter and the Deathly Hallows Parts 1 & 2,David Yates,2010,6
7,The Godfather,Francis Ford Coppola,1972,7
8,The Color Purple,Steven Spielberg,1985,8
9,The Wizard of Oz,Victor Fleming,1939,9
10,To Kill a Mockingbird,Robert Mulligan,1962,10
11,Forrest Gump,Robert Zemeckis,1994,11
12,The Remains of the Day,James Ivory,1993,12
13,Doctor Zhivago,David Lean,1965,13
14,The Princess Bride,Rob Reiner,1987,14
15,Schindler's List,Steven Spielberg,1993,15
16,Great Expectations,David Lean,1946,16
17,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,2001,17
18,The Lord of the Rings: The Two Towers,Peter Jackson,2002,18
19,The Lord of the Rings: The Return of the King,Peter Jackson,2003,19
20,The Hobbit,Peter Jackson,2012,20
21,The Shawshank Redemption,Frank Darabont,1994,21
22,No Country for Old Men,Coen Brothers,2007,22
23,Goodfellas,Martin Scorsese,1990,23
24,Fight Club,David Fincher,1999,24
25,Don't Look Now,Nicolas Roeg,1973,25
26,The Silence of the Lambs,Jonathan Demme,1991,26
27,The Exorcist,William Friedkin,1973,27
28,Room,Lenny Abrahamson,2015,28
29,Psycho,Alfred Hitchcock,1960,29